# 2 7 120 0 3 3
2 2 1 10 |5 2 2 6 |8 2 1 10 |11 2 2 10 |14 2 1 10 |17 2 2 10 |20 2 1 3 |23 2 2 10 |26 2 1 10 |29 2 2 10 |32 2 1 10 |35 2 2 12 |38 2 1 10 |41 2 2 13 |44 2 1 10 |47 2 2 10 |50 2 1 10 |53 2 2 10 |56 2 1 10 |59 2 2 10 |
2 3 2 10 |5 3 1 10 |8 3 2 10 |11 3 1 10 |14 3 2 10 |17 3 1 0 |20 3 2 10 |23 3 1 10 |26 3 2 10 |29 3 1 10 |32 3 2 10 |35 3 1 12 |38 3 2 10 |41 3 1 10 |44 3 2 10 |47 3 1 10 |50 3 2 10 |53 3 1 10 |56 3 2 10 |59 3 1 10 |
2 4 1 10 |5 4 2 3 |8 4 1 10 |11 4 2 10 |14 4 1 2 |17 4 2 10 |20 4 1 10 |23 4 2 4 |26 4 1 10 |29 4 2 0 |32 4 1 10 |35 4 2 11 |38 4 1 4 |41 4 2 0 |44 4 1 10 |47 4 2 11 |50 4 1 0 |53 4 2 0 |56 4 1 0 |59 4 2 10 |
2 5 2 13 |5 5 1 4 |8 5 2 10 |11 5 1 14 |14 5 2 10 |17 5 1 10 |20 5 2 0 |23 5 1 10 |26 5 2 14 |29 5 1 10 |32 5 2 10 |35 5 1 16 |38 5 2 10 |41 5 1 10 |44 5 2 4 |47 5 1 11 |50 5 2 10 |53 5 1 4 |56 5 2 10 |59 5 1 14 |
2 6 1 12 |5 6 2 10 |8 6 1 16 |11 6 2 11 |14 6 1 10 |17 6 2 10 |20 6 1 10 |23 6 2 10 |26 6 1 4 |29 6 2 10 |32 6 1 14 |35 6 2 10 |38 6 1 11 |41 6 2 10 |44 6 1 10 |47 6 2 11 |50 6 1 10 |53 6 2 10 |56 6 1 3 |59 6 2 10 |
2 7 2 10 |5 7 1 2 |8 7 2 10 |11 7 1 10 |14 7 2 10 |17 7 1 3 |20 7 2 10 |23 7 1 10 |26 7 2 10 |29 7 1 10 |32 7 2 10 |35 7 1 4 |38 7 2 10 |41 7 1 14 |44 7 2 10 |47 7 1 2 |50 7 2 10 |53 7 1 10 |56 7 2 10 |59 7 1 14 |
2 8 1 13 |5 8 2 10 |8 8 1 10 |11 8 2 10 |14 8 1 10 |17 8 2 10 |20 8 1 10 |23 8 2 4 |26 8 1 13 |29 8 2 10 |32 8 1 10 |35 8 2 10 |38 8 1 10 |41 8 2 13 |44 8 1 11 |47 8 2 16 |50 8 1 10 |53 8 2 10 |56 8 1 4 |59 8 2 10 |
2 9 2 10 |5 9 1 10 |8 9 2 3 |11 9 1 10 |14 9 2 10 |17 9 1 10 |20 9 2 10 |23 9 1 4 |26 9 2 10 |29 9 1 2 |32 9 2 10 |35 9 1 12 |38 9 2 12 |41 9 1 10 |44 9 2 14 |47 9 1 10 |50 9 2 10 |53 9 1 4 |56 9 2 4 |59 9 1 13 |
2 10 1 12 |5 10 2 4 |8 10 1 10 |11 10 2 10 |14 10 1 10 |17 10 2 10 |20 10 1 10 |23 10 2 10 |26 10 1 10 |29 10 2 10 |32 10 1 10 |35 10 2 10 |38 10 1 10 |41 10 2 0 |44 10 1 10 |47 10 2 12 |50 10 1 4 |53 10 2 10 |56 10 1 4 |59 10 2 10 |
2 11 2 16 |5 11 1 10 |8 11 2 10 |11 11 1 10 |14 11 2 10 |17 11 1 10 |20 11 2 2 |23 11 1 10 |26 11 2 10 |29 11 1 10 |32 11 16 10 |35 11 1 10 |38 11 2 10 |41 11 1 10 |44 11 2 10 |47 11 1 10 |50 11 2 0 |53 11 1 10 |56 11 2 10 |59 11 1 0 |
